location_ID,latitude,longitude,elevation,timezone,time,pm10,pm2_5,us_aqi,dust,uv_index,ozone,carbon_monoxide,methane,carbon_dioxide,nitrogen_dioxide,sulphur_dioxide,aerosol_optical_depth
Louisville-KY,38.300003,-85.799995,144,America/New_York,2026-04-23T00:00,8.4,6.7,65,3,0,81,221,1407,458,12.2,3.9,0.11
Louisville-KY,38.300003,-85.799995,144,America/New_York,2026-04-23T01:00,8.5,6.8,55,3,0,77,213,1408,459,12.5,3.9,0.11
Louisville-KY,38.300003,-85.799995,144,America/New_York,2026-04-23T02:00,8.2,6.6,48,3,0,73,207,1410,461,12.4,3.8,0.11
Louisville-KY,38.300003,-85.799995,144,America/New_York,2026-04-23T03:00,7.7,6.2,45,3,0,71,203,1412,465,11.4,3.7,0.11
Louisville-KY,38.300003,-85.799995,144,America/New_York,2026-04-23T04:00,7.4,5.9,42,3,0,70,201,1415,469,9.9,3.5,0.11
Louisville-KY,38.300003,-85.799995,144,America/New_York,2026-04-23T05:00,7.3,5.8,39,3,0,68,202,1419,473,9,3.3,0.11
Louisville-KY,38.300003,-85.799995,144,America/New_York,2026-04-23T06:00,7.3,5.8,36,3,0,61,208,1429,477,9.4,3,0.11
Louisville-KY,38.300003,-85.799995,144,America/New_York,2026-04-23T07:00,7.3,5.8,34,2,0,53,218,1441,482,10.4,2.6,0.12
Louisville-KY,38.300003,-85.799995,144,America/New_York,2026-04-23T08:00,5.8,4.4,32,2,0.35,55,223,1445,482,10.2,2,0.11
Louisville-KY,38.300003,-85.799995,144,America/New_York,2026-04-23T09:00,5.6,4.6,31,2,1.2,69,221,1435,476,8.7,2.3,0.12
Louisville-KY,38.300003,-85.799995,144,America/New_York,2026-04-23T10:00,6.2,4.8,30,3,2.65,89,214,1418,466,6.7,2.8,0.13
Louisville-KY,38.300003,-85.799995,144,America/New_York,2026-04-23T11:00,7.6,5.5,31,4,4.45,107,206,1404,458,4.8,3,0.14
Louisville-KY,38.300003,-85.799995,144,America/New_York,2026-04-23T12:00,10.2,6.8,33,5,5.25,120,195,1397,454,3.4,2.8,0.14
Louisville-KY,38.300003,-85.799995,144,America/New_York,2026-04-23T13:00,11.2,7.3,36,6,6.2,131,183,1393,451,2.1,2.4,0.15
Louisville-KY,38.300003,-85.799995,144,America/New_York,2026-04-23T14:00,11.1,7.2,40,7,6.05,138,174,1390,449,1.3,2,0.15
Louisville-KY,38.300003,-85.799995,144,America/New_York,2026-04-23T15:00,10.3,6.7,44,7,5.05,139,171,1388,449,1,1.8,0.15
Louisville-KY,38.300003,-85.799995,144,America/New_York,2026-04-23T16:00,9.2,6,49,6,3.55,136,172,1387,449,1,1.5,0.16
Louisville-KY,38.300003,-85.799995,144,America/New_York,2026-04-23T17:00,8.5,5.6,64,5,1.75,132,177,1387,450,1.5,1.4,0.17
Louisville-KY,38.300003,-85.799995,144,America/New_York,2026-04-23T18:00,8.4,5.7,78,4,0.55,127,190,1388,451,2.6,1.3,0.19
Louisville-KY,38.300003,-85.799995,144,America/New_York,2026-04-23T19:00,8.4,6.2,86,4,0.2,121,207,1390,452,4.1,1.3,0.18
Louisville-KY,38.300003,-85.799995,144,America/New_York,2026-04-23T20:00,9,6.9,89,4,0.05,115,222,1392,453,6.2,1.3,0.16
Louisville-KY,38.300003,-85.799995,144,America/New_York,2026-04-23T21:00,8.7,7.2,88,3,0,113,233,1395,456,6.2,1.4,0.15
Louisville-KY,38.300003,-85.799995,144,America/New_York,2026-04-23T22:00,8.8,7.6,84,3,0,110,242,1398,459,6.3,1.5,0.15
Louisville-KY,38.300003,-85.799995,144,America/New_York,2026-04-23T23:00,9.2,7.9,78,2,0,107,245,1400,461,6.2,1.6,0.15
Louisville-KY,38.300003,-85.799995,144,America/New_York,2026-04-24T00:00,9.6,8.3,71,2,0,103,237,1398,461,5.9,1.6,0.15
Louisville-KY,38.300003,-85.799995,144,America/New_York,2026-04-24T01:00,9.7,8.3,64,2,0,99,222,1394,460,5.4,1.5,0.15
Louisville-KY,38.300003,-85.799995,144,America/New_York,2026-04-24T02:00,9.5,8.2,57,2,0,94,210,1391,460,5.1,1.5,0.14
Louisville-KY,38.300003,-85.799995,144,America/New_York,2026-04-24T03:00,9.2,8,50,2,0,89,202,1391,460,5,1.5,0.13
Louisville-KY,38.300003,-85.799995,144,America/New_York,2026-04-24T04:00,8.8,7.8,48,2,0,84,197,1392,461,5,1.6,0.13
