city,state,date,aqi_avg,aqi_max,pm2_5_avg,pm10_avg,ozone_avg,no2_avg,co_avg,co2_avg,methane_avg,uv_max,dust_avg
"Bakersfield, CA",CA,"Wednesday, June 3, 2026",55.5,57.65624619,12.76,63.63,51.35,9.89,132.05,461.55,1378.3,10.44999981,95.15
"Bozeman, MT",MT,"Wednesday, June 3, 2026",32.3,41.04823685,3.28,4.62,72.7,1.57,110.1,443.7,1345.95,5.449999809,2.75
"Brownsville, TX",TX,"Wednesday, June 3, 2026",35.6,38.15972519,7.05,10.33,45.25,2.6,128.45,448.2,1323.3,11.85000038,0.2
"Casper, WY",WY,"Wednesday, June 3, 2026",43.7,57.14285278,4.66,9.29,96.5,0.88,103.8,445.35,1343.1,9.550000191,9.8
"Eugene, OR",OR,"Wednesday, June 3, 2026",28.8,31.71382332,4.83,7.6,62.65,1.31,116.8,447.6,1348.95,5.849999905,0.05
"Kahului, HI",HI,"Wednesday, June 3, 2026",26,29.09721947,5.55,9.16,45.55,0.59,100.75,446.8,1335.15,9.649999619,0
"Louisville, KY",KY,"Wednesday, June 3, 2026",31.3,40.75834656,7.95,9.18,73.05,2.43,133.1,446.05,1373.2,9.449999809,1
"Bakersfield, CA",CA,"Thursday, June 4, 2026",55.3,57.65624619,12.59,63.14,59.21,9.08,130.167,460.25,1376.17,10.44999981,95.08
"Bozeman, MT",MT,"Thursday, June 4, 2026",33.7,41.1641922,2.82,3.98,74,1.4,109.25,443,1346.38,5.449999809,2.38
"Brownsville, TX",TX,"Thursday, June 4, 2026",34.6,38.15972519,6.87,10.19,45.08,2.54,131,448.08,1323.25,11.85000038,0.33
"Casper, WY",WY,"Thursday, June 4, 2026",47.3,68.40985107,4.52,9.81,100.04,0.8,103.583,445.13,1343.33,9.550000191,11.46
"Eugene, OR",OR,"Thursday, June 4, 2026",29.5,33.39517593,4.49,6.99,64.17,1.21,115.875,446.21,1349.13,5.849999905,0.04
