city,state,time,carbon_monoxide,nitrogen_dioxide,sulphur_dioxide,ozone,date
"Louisville, KY",KY,6/15/26 2:00,,,,,6/15/26 0:00
"Louisville, KY",KY,6/15/26 3:00,,,,,6/15/26 0:00
"Louisville, KY",KY,6/15/26 4:00,,,,,6/15/26 0:00
"Louisville, KY",KY,6/15/26 5:00,,,,,6/15/26 0:00
"Louisville, KY",KY,6/15/26 6:00,,,,,6/15/26 0:00
"Louisville, KY",KY,6/15/26 7:00,,,,,6/15/26 0:00
"Louisville, KY",KY,6/15/26 8:00,,,,,6/15/26 0:00
"Louisville, KY",KY,6/15/26 9:00,,,,,6/15/26 0:00
"Louisville, KY",KY,6/15/26 10:00,,,,,6/15/26 0:00
"Louisville, KY",KY,6/15/26 11:00,,,,,6/15/26 0:00
"Louisville, KY",KY,6/15/26 12:00,,,,,6/15/26 0:00
"Louisville, KY",KY,6/15/26 13:00,,,,,6/15/26 0:00
"Louisville, KY",KY,6/15/26 14:00,,,,,6/15/26 0:00
"Louisville, KY",KY,6/15/26 15:00,,,,,6/15/26 0:00
"Louisville, KY",KY,6/15/26 16:00,,,,,6/15/26 0:00
"Louisville, KY",KY,6/15/26 17:00,,,,,6/15/26 0:00
"Louisville, KY",KY,6/15/26 18:00,,,,,6/15/26 0:00
"Louisville, KY",KY,6/15/26 19:00,,,,,6/15/26 0:00
"Louisville, KY",KY,6/15/26 20:00,,,,,6/15/26 0:00
"Louisville, KY",KY,6/15/26 21:00,,,,,6/15/26 0:00
"Louisville, KY",KY,6/15/26 22:00,,,,,6/15/26 0:00
"Louisville, KY",KY,6/15/26 23:00,,,,,6/15/26 0:00
"Louisville, KY",KY,6/16/26 0:00,,,,,6/16/26 0:00
"Louisville, KY",KY,6/16/26 1:00,,,,,6/16/26 0:00
"Louisville, KY",KY,6/16/26 2:00,,,,,6/16/26 0:00
"Louisville, KY",KY,6/16/26 3:00,,,,,6/16/26 0:00
"Louisville, KY",KY,6/16/26 4:00,,,,,6/16/26 0:00
"Louisville, KY",KY,6/16/26 5:00,,,,,6/16/26 0:00
"Louisville, KY",KY,6/16/26 6:00,,,,,6/16/26 0:00
"Louisville, KY",KY,6/16/26 7:00,,,,,6/16/26 0:00
"Louisville, KY",KY,6/16/26 8:00,,,,,6/16/26 0:00
"Louisville, KY",KY,6/16/26 9:00,,,,,6/16/26 0:00
"Louisville, KY",KY,6/16/26 10:00,,,,,6/16/26 0:00
"Louisville, KY",KY,6/16/26 11:00,,,,,6/16/26 0:00
"Louisville, KY",KY,6/16/26 12:00,,,,,6/16/26 0:00
"Louisville, KY",KY,6/16/26 13:00,,,,,6/16/26 0:00
"Louisville, KY",KY,6/16/26 14:00,,,,,6/16/26 0:00
"Louisville, KY",KY,6/16/26 15:00,,,,,6/16/26 0:00
"Louisville, KY",KY,6/16/26 16:00,,,,,6/16/26 0:00
"Louisville, KY",KY,6/16/26 17:00,,,,,6/16/26 0:00
"Louisville, KY",KY,6/16/26 18:00,,,,,6/16/26 0:00
"Louisville, KY",KY,6/16/26 19:00,,,,,6/16/26 0:00
"Louisville, KY",KY,6/16/26 20:00,,,,,6/16/26 0:00
"Louisville, KY",KY,6/16/26 21:00,,,,,6/16/26 0:00
